PoolName,MatchIdx,SideA,SideB,Winner,IpponsA,IpponsB,HansokuA,HansokuB,Decision,Status,Court,SubResults,ScheduledAt
Pool A,0,Quentin Allen,Quinn Walker,,,,0,0,,scheduled,A,,
Pool A,1,Quentin Allen,Albus Dumbledore,,,,0,0,,scheduled,A,,
Pool A,2,Quinn Walker,Albus Dumbledore,,,,0,0,,scheduled,A,,
Pool B,0,Ray Bradbury,Virginia Woolf,,,,0,0,,scheduled,A,,
Pool B,1,Ray Bradbury,Eddard Stark,,,,0,0,,scheduled,A,,
Pool B,2,Virginia Woolf,Eddard Stark,,,,0,0,,scheduled,A,,
Pool C,0,Sylvia Plath,William Shakespeare,,,,0,0,,scheduled,A,,
Pool C,1,Sylvia Plath,Cersei Lannister,,,,0,0,,scheduled,A,,
Pool C,2,William Shakespeare,Cersei Lannister,,,,0,0,,scheduled,A,,
Pool D,0,Thomas Hardy,Xavier Herbert,,,,0,0,,scheduled,A,,
Pool D,1,Thomas Hardy,Bilbo Baggins,,,,0,0,,scheduled,A,,
Pool D,2,Xavier Herbert,Bilbo Baggins,,,,0,0,,scheduled,A,,
Pool E,0,Ursula K Le Guin,Yann Martel,,,,0,0,,scheduled,A,,
Pool E,1,Ursula K Le Guin,Daenerys Targaryen,,,,0,0,,scheduled,A,,
Pool E,2,Yann Martel,Daenerys Targaryen,,,,0,0,,scheduled,A,,
