PoolName,MatchIdx,SideA,SideB,Winner,IpponsA,IpponsB,HansokuA,HansokuB,Decision,Status,Court,SubResults,ScheduledAt
Pool A,0,Mason Martinez,Nathan Lee,,,,0,0,,scheduled,A,,
Pool A,1,Mason Martinez,William Hill,,,,0,0,,scheduled,A,,
Pool A,2,Nathan Lee,William Hill,,,,0,0,,scheduled,A,,
Pool B,0,Zachary Adams,Quinn Walker,,,,0,0,,scheduled,A,,
Pool B,1,Zachary Adams,Uriel Wright,,,,0,0,,scheduled,A,,
Pool B,2,Quinn Walker,Uriel Wright,,,,0,0,,scheduled,A,,
Pool C,0,Luke Rodriguez,Aaron Thompson,,,,0,0,,scheduled,A,,
Pool C,1,Luke Rodriguez,Michael Lewis,,,,0,0,,scheduled,A,,
Pool C,2,Aaron Thompson,Michael Lewis,,,,0,0,,scheduled,A,,
Pool D,0,Up To 2D 1St Place,Oliver Walker,,,,0,0,,scheduled,A,,
Pool D,1,Up To 2D 1St Place,Caleb Wilson,,,,0,0,,scheduled,A,,
Pool D,2,Oliver Walker,Caleb Wilson,,,,0,0,,scheduled,A,,
Pool E,0,Up To 2D 2Nd Place,Thomas King,,,,0,0,,scheduled,A,,
Pool E,1,Up To 2D 2Nd Place,Hudson Jackson,,,,0,0,,scheduled,A,,
Pool E,2,Thomas King,Hudson Jackson,,,,0,0,,scheduled,A,,
Pool F,0,Xavier Scott,Kaden Martin,,,,0,0,,scheduled,A,,
Pool F,1,Xavier Scott,Nolan Clark,,,,0,0,,scheduled,A,,
Pool F,2,Kaden Martin,Nolan Clark,,,,0,0,,scheduled,A,,
Pool G,0,Dylan Moore,Liam Thompson,,,,0,0,,scheduled,A,,
Pool G,1,Dylan Moore,Elijah Taylor,,,,0,0,,scheduled,A,,
Pool G,2,Liam Thompson,Elijah Taylor,,,,0,0,,scheduled,A,,
Pool H,0,Finn Anderson,Ryan Hall,,,,0,0,,scheduled,A,,
Pool H,1,Finn Anderson,Yosef Green,,,,0,0,,scheduled,A,,
Pool H,2,Ryan Hall,Yosef Green,,,,0,0,,scheduled,A,,
Pool I,0,Gabriel Thomas,Sebastian Allen,,,,0,0,,scheduled,A,,
Pool I,1,Gabriel Thomas,Isaac White,,,,0,0,,scheduled,A,,
Pool I,2,Sebastian Allen,Isaac White,,,,0,0,,scheduled,A,,
Pool J,0,Quentin Allen,Tristan Young,,,,0,0,,scheduled,A,,
Pool J,1,Quentin Allen,Parker Lewis,,,,0,0,,scheduled,A,,
Pool J,2,Tristan Young,Parker Lewis,,,,0,0,,scheduled,A,,
Pool K,0,Steven Hernandez,Ulysses Hernandez,,,,0,0,,scheduled,A,,
Pool K,1,Steven Hernandez,Owen Rodriguez,,,,0,0,,scheduled,A,,
Pool K,2,Ulysses Hernandez,Owen Rodriguez,,,,0,0,,scheduled,A,,
Pool L,0,Victor Lopez,Robert Young,,,,0,0,,scheduled,A,,
Pool L,1,Victor Lopez,Kevin Clark,,,,0,0,,scheduled,A,,
Pool L,2,Robert Young,Kevin Clark,,,,0,0,,scheduled,A,,
Pool M,0,Benjamin Evans,Paul Hall,,,,0,0,,scheduled,A,,
Pool M,1,Benjamin Evans,Jackson Harris,,,,0,0,,scheduled,A,,
Pool M,2,Paul Hall,Jackson Harris,,,,0,0,,scheduled,A,,
