PoolName,MatchIdx,SideA,SideB,Winner,IpponsA,IpponsB,HansokuA,HansokuB,Decision,Status,Court,SubResults,ScheduledAt
Pool A,0,Philip K Dick,Legolas Greenleaf,,,,0,0,,scheduled,A,,
Pool A,1,Philip K Dick,Quirinus Quirrell,,,,0,0,,scheduled,A,,
Pool A,2,Legolas Greenleaf,Quirinus Quirrell,,,,0,0,,scheduled,A,,
Pool B,0,Quentin Blake,Paul Hall,,,,0,0,,scheduled,A,,
Pool B,1,Quentin Blake,Luke Rodriguez,,,,0,0,,scheduled,A,,
Pool B,2,Paul Hall,Luke Rodriguez,,,,0,0,,scheduled,A,,
Pool C,0,Quentin Allen,Steven Hernandez,,,,0,0,,scheduled,A,,
Pool C,1,Quentin Allen,Xavier Scott,,,,0,0,,scheduled,A,,
Pool C,2,Steven Hernandez,Xavier Scott,,,,0,0,,scheduled,A,,
Pool D,0,Petyr Baelish,William Hill,,,,0,0,,scheduled,A,,
Pool D,1,Petyr Baelish,Jon Snow,,,,0,0,,scheduled,A,,
Pool D,2,William Hill,Jon Snow,,,,0,0,,scheduled,A,,
Pool E,0,Frodo Baggins,Thomas King,,,,0,0,,scheduled,A,,
Pool E,1,Frodo Baggins,Ulysses,,,,0,0,,scheduled,A,,
Pool E,2,Thomas King,Ulysses,,,,0,0,,scheduled,A,,
Pool F,0,Kevin Clark,Tyrion Lannister,,,,0,0,,scheduled,A,,
Pool F,1,Kevin Clark,Voldemort,,,,0,0,,scheduled,A,,
Pool F,2,Tyrion Lannister,Voldemort,,,,0,0,,scheduled,A,,
Pool G,0,Xaro Xhoan Daxos,Nathan Lee,,,,0,0,,scheduled,A,,
Pool G,1,Xaro Xhoan Daxos,Oliver Walker,,,,0,0,,scheduled,A,,
Pool G,2,Nathan Lee,Oliver Walker,,,,0,0,,scheduled,A,,
Pool H,0,Moby Dick,Michael Lewis,,,,0,0,,scheduled,A,,
Pool H,1,Moby Dick,Ron Weasley,,,,0,0,,scheduled,A,,
Pool H,2,Michael Lewis,Ron Weasley,,,,0,0,,scheduled,A,,
Pool I,0,Katniss Everdeen,Neville Longbottom,,,,0,0,,scheduled,A,,
Pool I,1,Katniss Everdeen,Willy Wonka,,,,0,0,,scheduled,A,,
Pool I,2,Neville Longbottom,Willy Wonka,,,,0,0,,scheduled,A,,
Pool J,0,Samwise Gamgee,Victor Lopez,,,,0,0,,scheduled,A,,
Pool J,1,Samwise Gamgee,Uriel Wright,,,,0,0,,scheduled,A,,
Pool J,2,Victor Lopez,Uriel Wright,,,,0,0,,scheduled,A,,
Pool K,0,Gandalf The Grey,Inigo Montoya,,,,0,0,,scheduled,A,,
Pool K,1,Gandalf The Grey,Ygritte,,,,0,0,,scheduled,A,,
Pool K,2,Inigo Montoya,Ygritte,,,,0,0,,scheduled,A,,
Pool L,0,Hermione Granger,Othello,,,,0,0,,scheduled,A,,
Pool L,1,Hermione Granger,Robert Young,,,,0,0,,scheduled,A,,
Pool L,2,Othello,Robert Young,,,,0,0,,scheduled,A,,
