PoolName,MatchIdx,SideA,SideB,Winner,IpponsA,IpponsB,HansokuA,HansokuB,Decision,Status,Court,SubResults,ScheduledAt
Pool A,0,Eddard Stark,Daenerys Targaryen,,,,0,0,,scheduled,A,,
Pool A,1,Moby Dick,Daenerys Targaryen,,,,0,0,,scheduled,A,,
Pool A,2,Moby Dick,Othello,,,,0,0,,scheduled,A,,
Pool A,3,Eddard Stark,Othello,,,,0,0,,scheduled,A,,
Pool A,4,Eddard Stark,Moby Dick,,,,0,0,,scheduled,A,,
Pool A,5,Daenerys Targaryen,Othello,,,,0,0,,scheduled,A,,
Pool B,0,Up To 2D 1St Place,Frodo Baggins,,,,0,0,,scheduled,A,,
Pool B,1,Up To 2D 1St Place,Bilbo Baggins,,,,0,0,,scheduled,A,,
Pool B,2,Frodo Baggins,Bilbo Baggins,,,,0,0,,scheduled,A,,
Pool C,0,Up To 2D 2Nd Place,Hermione Granger,,,,0,0,,scheduled,A,,
Pool C,1,Up To 2D 2Nd Place,Legolas Greenleaf,,,,0,0,,scheduled,A,,
Pool C,2,Hermione Granger,Legolas Greenleaf,,,,0,0,,scheduled,A,,
Pool D,0,Yann Martel,Jon Snow,,,,0,0,,scheduled,A,,
Pool D,1,Yann Martel,Neville Longbottom,,,,0,0,,scheduled,A,,
Pool D,2,Jon Snow,Neville Longbottom,,,,0,0,,scheduled,A,,
Pool E,0,Albus Dumbledore,William Shakespeare,,,,0,0,,scheduled,A,,
Pool E,1,Albus Dumbledore,Katniss Everdeen,,,,0,0,,scheduled,A,,
Pool E,2,William Shakespeare,Katniss Everdeen,,,,0,0,,scheduled,A,,
Pool F,0,Cersei Lannister,Gandalf The Grey,,,,0,0,,scheduled,A,,
Pool F,1,Inigo Montoya,Gandalf The Grey,,,,0,0,,scheduled,A,,
Pool F,2,Inigo Montoya,Xavier Herbert,,,,0,0,,scheduled,A,,
Pool F,3,Cersei Lannister,Xavier Herbert,,,,0,0,,scheduled,A,,
Pool F,4,Cersei Lannister,Inigo Montoya,,,,0,0,,scheduled,A,,
Pool F,5,Gandalf The Grey,Xavier Herbert,,,,0,0,,scheduled,A,,
