PoolName,MatchIdx,SideA,SideB,Winner,IpponsA,IpponsB,HansokuA,HansokuB,Decision,Status,Court,SubResults,ScheduledAt
Pool A,0,Vincent King,Charles Dickens,Charles Dickens,,K|D,0,0,,completed,,,
Pool A,1,Isaac Asimov,Charles Dickens,Isaac Asimov,M,,0,0,,completed,,,
Pool A,2,Isaac Asimov,Oscar Wilde,,,,0,0,X,completed,,,
Pool A,3,Vincent King,Oscar Wilde,Vincent King,M|K,D,0,0,,completed,,,
Pool A,4,Vincent King,Isaac Asimov,Isaac Asimov,M,K|K,0,0,,completed,,,
Pool A,5,Charles Dickens,Oscar Wilde,,M,K,0,0,X,completed,,,
Pool B,0,William Wright,Daniel Defoe,William Wright,M|M,,0,0,,completed,,,
Pool B,1,William Wright,Jane Austen,Jane Austen,,K|D,0,0,,completed,,,
Pool B,2,Daniel Defoe,Jane Austen,Daniel Defoe,M,,0,0,,completed,,,
Pool C,0,Xavier Lopez,Emily Bronte,,,,0,0,X,completed,,,
Pool C,1,Xavier Lopez,Kurt Vonnegut,Xavier Lopez,M|K,D,0,0,,completed,,,
Pool C,2,Emily Bronte,Kurt Vonnegut,Kurt Vonnegut,M,K|K,0,0,,completed,,,
Pool D,0,Yosef Hill,Fyodor Dostoevsky,,M,K,0,0,X,completed,,,
Pool D,1,Yosef Hill,Lewis Carroll,Yosef Hill,M|M,,0,0,,completed,,,
Pool D,2,Fyodor Dostoevsky,Lewis Carroll,Lewis Carroll,,K|D,0,0,,completed,,,
Pool E,0,Arthur Conan,George Orwell,Arthur Conan,M,,0,0,,completed,,,
Pool E,1,Arthur Conan,Mary Shelley,,,,0,0,X,completed,,,
Pool E,2,George Orwell,Mary Shelley,George Orwell,M|K,D,0,0,,completed,,,
Pool F,0,Bram Stoker,Herman Melville,Herman Melville,M,K|K,0,0,,completed,,,
Pool F,1,Bram Stoker,Nathaniel Hawthorne,,M,K,0,0,X,completed,,,
Pool F,2,Herman Melville,Nathaniel Hawthorne,Herman Melville,M|M,,0,0,,completed,,,
