Kevin Clark, CLARK, Team Alpha
Luke Rodriguez, RODRIGUEZ, Team Beta
Michael Lewis, LEWIS, Team Gamma
Nathan Lee, LEE, Team Delta
Oliver Walker, WALKER, Team Epsilon
Paul Hall, HALL, Team Alpha
Quentin Allen, ALLEN, Team Beta
Robert Young, YOUNG, Team Gamma
Steven Hernandez, HERNANDEZ, Team Delta
Thomas King, KING, Team Epsilon
Uriel Wright, WRIGHT, Team Alpha
Victor Lopez, LOPEZ, Team Beta
William Hill, HILL, Team Gamma
Xavier Scott, SCOTT, Team Delta
Yosef Green, GREEN, Team Epsilon
Zachary Adams, ADAMS, Team Alpha
Aaron Thompson, THOMPSON, Team Alpha
Benjamin Evans, EVANS, Team Beta
Caleb Wilson, WILSON, Team Gamma
Dylan Moore, MOORE, Team Delta
Elijah Taylor, TAYLOR, Team Epsilon
Finn Anderson, ANDERSON, Team Zeta
Gabriel Thomas, THOMAS, Team Eta
Hudson Jackson, JACKSON, Team Theta
Isaac White, WHITE, Team Iota
Jackson Harris, HARRIS, Team Kappa
Kaden Martin, MARTIN, Team Alpha
Liam Thompson, THOMPSON, Team Beta
Mason Martinez, MARTINEZ, Team Gamma
Nolan Clark, CLARK, Team Delta
Owen Rodriguez, RODRIGUEZ, Team Epsilon
Parker Lewis, LEWIS, Team Zeta
Quinn Walker, WALKER, Team Eta
Ryan Hall, HALL, Team Theta
Sebastian Allen, ALLEN, Team Iota
Tristan Young, YOUNG, Team Kappa
Ulysses Hernandez, HERNANDEZ, Team Alpha
Vincent King, KING, Team Beta
William Wright, WRIGHT, Team Gamma
Xavier Lopez, LOPEZ, Team Delta
Yosef Hill, HILL, Team Epsilon
Arthur Conan, CONAN, Team Alpha
Bram Stoker, STOKER, Team Beta
Charles Dickens, DICKENS, Team Gamma
Daniel Defoe, DEFOE, Team Delta
Emily Bronte, BRONTE, Team Epsilon
Fyodor Dostoevsky, DOSTOEVSKY, Team Zeta
George Orwell, ORWELL, Team Eta
Herman Melville, MELVILLE, Team Theta
Isaac Asimov, ASIMOV, Team Iota
Jane Austen, AUSTEN, Team Kappa
Kurt Vonnegut, VONNEGUT, Team Lambda
Lewis Carroll, CARROLL, Team Mu
Mary Shelley, SHELLEY, Team Nu
Nathaniel Hawthorne, HAWTHORNE, Team Xi
Oscar Wilde, WILDE, Team Omicron
Philip K Dick, DICK, Team Pi
Quentin Blake, BLAKE, Team Rho
Ray Bradbury, BRADBURY, Team Sigma
Sylvia Plath, PLATH, Team Tau
Thomas Hardy, HARDY, Team Upsilon
Ursula K Le Guin, LE GUIN, Team Phi
Virginia Woolf, WOOLF, Team Chi
William Shakespeare, SHAKESPEARE, Team Psi
Xavier Herbert, HERBERT, Team Omega
Yann Martel, MARTEL, Team Alpha
Albus Dumbledore, DUMBLEDORE, Team Alpha
Bilbo Baggins, BAGGINS, Team Beta
Cersei Lannister, LANNISTER, Team Gamma
Daenerys Targaryen, TARGARYEN, Team Delta
Eddard Stark, STARK, Team Epsilon
Frodo Baggins, BAGGINS, Team Zeta
Gandalf the Grey, GANDALF, Team Eta
Hermione Granger, GRANGER, Team Theta
Inigo Montoya, MONTOYA, Team Iota
Jon Snow, SNOW, Team Kappa
Katniss Everdeen, EVERDEEN, Team Lambda
Legolas Greenleaf, GREENLEAF, Team Mu
Moby Dick, DICK, Team Nu
Neville Longbottom, LONGBOTTOM, Team Xi
Othello, OTHELLO, Team Omicron
Petyr Baelish, BAELISH, Team Pi
Quirinus Quirrell, QUIRRELL, Team Rho
Ron Weasley, WEASLEY, Team Sigma
Samwise Gamgee, GAMGEE, Team Tau
Tyrion Lannister, LANNISTER, Team Upsilon
Ulysses, ULYSSES, Team Phi
Voldemort, VOLDEMORT, Team Chi
Willy Wonka, WONKA, Team Psi
Xaro Xhoan Daxos, DAXOS, Team Omega
Ygritte, YGRITTE, Team Alpha
