Cersei Lannister, Team Gamma
Daenerys Targaryen, Team Delta
Eddard Stark, Team Epsilon
Frodo Baggins, Team Zeta
Gandalf the Grey, Team Eta
Hermione Granger, Team Theta
Inigo Montoya, Team Iota
Jon Snow, Team Kappa
Katniss Everdeen, Team Lambda
Katniss Everdeen, Team Lambda
Katniss Everdeen, Team Mu
Legolas Greenleaf, Team Mu
Moby Dick, Team Nu
Neville Longbottom, Team Xi
Othello, Team Omicron
Petyr Baelish, Team Pi
Quirinus Quirrell, Team Rho
Ron Weasley, Team Sigma
Samwise Gamgee, Team Tau
Tyrion Lannister, Team Upsilon
Ulysses, Team Phi
Voldemort, Team Chi
Willy Wonka, Team Psi
Xaro Xhoan Daxos, Team Omega
Ygritte, Team Alpha
Willy Wonka, Team Psi
Xaro Xhoan Daxos, Team Omega
