Cersei Lannister, LANNISTER, Team Gamma
Daenerys Targaryen, TARGARYEN, Team Delta
Eddard Stark, STARK, Team Epsilon
Frodo Baggins, BAGGINS, Team Zeta
Gandalf the Grey, GANDALF, Team Eta
Hermione Granger, GRANGER, Team Theta
Inigo Montoya, MONTOYA, Team Iota
Jon Snow, SNOW, Team Kappa
Katniss Everdeen, EVERDEEN, Team Lambda
Katniss Everdeen, EVERDEEN, Team Lambda
Katniss Everdeen, EVERDEEN, Team Mu
Legolas Greenleaf, GREENLEAF, Team Mu
Moby Dick, DICK, Team Nu
Neville Longbottom, LONGBOTTOM, Team Xi
Othello, OTHELLO, Team Omicron
Petyr Baelish, BAELISH, Team Pi
Quirinus Quirrell, QUIRRELL, Team Rho
Ron Weasley, WEASLEY, Team Sigma
Samwise Gamgee, GAMGEE, Team Tau
Tyrion Lannister, LANNISTER, Team Upsilon
Ulysses, ULYSSES, Team Phi
Voldemort, VOLDEMORT, Team Chi
Willy Wonka, WONKA, Team Psi
Xaro Xhoan Daxos, DAXOS, Team Omega
Ygritte, YGRITTE, Team Alpha
Willy Wonka, WONKA, Team Psi
Xaro Xhoan Daxos, DAXOS, Team Omega
